FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH36E001,AH36E002,AH36E003,AH37E001,AH37E002,AH37E003,AH4HE001,AH4HE002,AH4HE003,AH4HE004,AH4HE005,AH4HE006,AH4HE007,AH4HE008,AH5JE001,AH5JE002,AH5JE003,AH5JE004,AH5JE005,AH5JE006,AH5JE007,AH5JE008,AH5JE009,AH5JE010,AH5JE011,AH5JE012,AH5JE013,AH5JE014,AH5JE015,AH5JE016,AH5JE017,AH5JE018,AH5JE019,AH5JE020,AH5JE021,AH5JE022,AH5JE023,AH5JE024,AH5JE025,AH5JE026,AH5JE027,AH5LE001,AH5QE001,AH5QE002,AH5QE003,AH5QE004,AH5QE005,AH5QE006,AH5QE007,AH5QE008,AH5QE009,AH5QE010,AH5QE011,AH5QE012,AH5QE013,AH5QE014,AH5QE015,AH5QE016,AH5QE017,AH5QE018,AH5QE019,AH5QE020,AH5QE021,AH5QE022,AH5QE023,AH5QE024,AH5QE025,AH5QE026,AH5QE027,AH5RE001,AH5SE001,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,AH5YE001,AH51E001,AH51E002,AH51E003,AH51E004,AH51E005,AH51E006,AH51E007,AH51E008,AH51E009,AH51E010,AH51E011,AH51E012,AH51E013,AH51E014,AH51E015,AH51E016,AH51E017,AH51E018,AH51E019,AH51E020,AH51E021,AH51E022,AH51E023,AH51E024,AH51E025,AH51E026,AH51E027,AH53E001,AH6CE001,AH6CE002,AH6CE003,AH6CE004,AH6CE005,AH6CE006,AH6CE007,AH6CE008,AH6CE009,AH6CE010,AH6CE011,AH6CE012,AH6CE013,AH6CE014,AH6CE015,AH6CE016,AH6CE017,AH6CE018,AH6CE019,AH6CE020,AH6CE021,AH6CE022,AH6CE023,AH6CE024,AH6CE025,AH6CE026,AH6CE027,AH6CE028,AH6CE029,AH6CE030,AH6CE031,AH6CE032,AH6CE033,AH6CE034,AH6CE035,AH6CE036,AH6CE037,AH6CE038,AH6CE039,AH6DE001,AH6DE002,AH6DE003,AH6FE001,AH6FE002,AH6FE003,AH6FE004,AH6FE005,AH6FE006,AH6FE007,AH6FE008,AH6FE009,AH6FE010,AH6FE011,AH6FE012,AH6FE013,AH6FE014,AH6FE015,AH6FE016,AH6FE017,AH6FE018,AH6FE019,AH6FE020,AH6FE021,AH6FE022,AH6FE023,AH6GE001,AH6GE002,AH6GE003,NAME_M,AH36M001,AH36M002,AH36M003,AH37M001,AH37M002,AH37M003,AH4HM001,AH4HM002,AH4HM003,AH4HM004,AH4HM005,AH4HM006,AH4HM007,AH4HM008,AH5JM001,AH5JM002,AH5JM003,AH5JM004,AH5JM005,AH5JM006,AH5JM007,AH5JM008,AH5JM009,AH5JM010,AH5JM011,AH5JM012,AH5JM013,AH5JM014,AH5JM015,AH5JM016,AH5JM017,AH5JM018,AH5JM019,AH5JM020,AH5JM021,AH5JM022,AH5JM023,AH5JM024,AH5JM025,AH5JM026,AH5JM027,AH5LM001,AH5QM001,AH5QM002,AH5QM003,AH5QM004,AH5QM005,AH5QM006,AH5QM007,AH5QM008,AH5QM009,AH5QM010,AH5QM011,AH5QM012,AH5QM013,AH5QM014,AH5QM015,AH5QM016,AH5QM017,AH5QM018,AH5QM019,AH5QM020,AH5QM021,AH5QM022,AH5QM023,AH5QM024,AH5QM025,AH5QM026,AH5QM027,AH5RM001,AH5SM001,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011,AH5YM001,AH51M001,AH51M002,AH51M003,AH51M004,AH51M005,AH51M006,AH51M007,AH51M008,AH51M009,AH51M010,AH51M011,AH51M012,AH51M013,AH51M014,AH51M015,AH51M016,AH51M017,AH51M018,AH51M019,AH51M020,AH51M021,AH51M022,AH51M023,AH51M024,AH51M025,AH51M026,AH51M027,AH53M001,AH6CM001,AH6CM002,AH6CM003,AH6CM004,AH6CM005,AH6CM006,AH6CM007,AH6CM008,AH6CM009,AH6CM010,AH6CM011,AH6CM012,AH6CM013,AH6CM014,AH6CM015,AH6CM016,AH6CM017,AH6CM018,AH6CM019,AH6CM020,AH6CM021,AH6CM022,AH6CM023,AH6CM024,AH6CM025,AH6CM026,AH6CM027,AH6CM028,AH6CM029,AH6CM030,AH6CM031,AH6CM032,AH6CM033,AH6CM034,AH6CM035,AH6CM036,AH6CM037,AH6CM038,AH6CM039,AH6DM001,AH6DM002,AH6DM003,AH6FM001,AH6FM002,AH6FM003,AH6FM004,AH6FM005,AH6FM006,AH6FM007,AH6FM008,AH6FM009,AH6FM010,AH6FM011,AH6FM012,AH6FM013,AH6FM014,AH6FM015,AH6FM016,AH6FM017,AH6FM018,AH6FM019,AH6FM020,AH6FM021,AH6FM022,AH6FM023,AH6GM001,AH6GM002,AH6GM003,Per_Vacant,UNIQUE_ID
162,26,163,506900,4,261635069004,Block Group 4,G5030,S,201359.000000000000000,0.000000000000000,+42.4366174,-083.0689029,G26016305069004,2116.709252619999916,201358.604434999986552,G26016305069004,2013-2017, , ,Michigan,26,Wayne County,163, , ,506900,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5069, Wayne County, Michigan",228,212,16,212,94,118,16,0,0,0,0,0,0,16,118,118,0,0,0,0,0,24,0,0,0,0,0,0,0,48,24,22,0,0,0,0,0,0,0,0,0,736,118,118,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,34,60,0,0,0,0,0,0,1254,130100,118,0,0,12,0,0,0,22,24,60,0,50.000000000000000,94,17,10,4,0,10,0,10,0,0,0,11,21,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,94,70,0,0,0,0,0,0,0,17,10,32,11,0,0,0,0,0,0,24,0,0,0,0,10,0,0,4,0,0,0,10,0,0,0,0,0,0,0,960,1063,0,94,70,0,11,28,0,0,10,21,0,0,0,24,10,10,4,0,0,0,0,0,0,0,17.500000000000000,19.300000000000001,11.000000000000000,"Block Group 4, Census Tract 5069, Wayne County, Michigan",87,85,25,85,51,75,25,10,10,10,10,10,10,25,75,75,10,10,10,10,10,37,10,10,10,10,10,10,10,47,32,36,10,10,10,10,10,10,10,10,10,41,75,75,10,10,10,10,10,10,10,37,10,10,10,10,10,10,10,10,10,40,52,10,10,10,10,10,10,182,84286,75,10,10,21,10,10,10,36,32,56,10,0.000000000000000,51,26,16,11,10,16,10,14,10,10,10,17,34,10,10,10,10,10,16,10,10,10,10,10,10,10,10,0,51,50,10,10,10,10,10,10,10,26,14,37,16,10,10,10,10,10,10,25,10,10,10,10,16,10,10,11,10,10,10,16,10,10,10,10,10,10,10,210,191,0,51,50,10,17,31,10,10,14,34,10,10,10,25,16,16,11,10,10,10,10,10,10,10,11.900000000000000,24.800000000000001,6.400000000000000,7.017543859650000,162
163,26,163,506900,5,261635069005,Block Group 5,G5030,S,385020.000000000000000,0.000000000000000,+42.4370286,-083.0735212,G26016305069005,2662.559689170000183,385018.418197999999393,G26016305069005,2013-2017, , ,Michigan,26,Wayne County,163, , ,506900,5, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 5, Census Tract 5069, Wayne County, Michigan",572,383,189,383,212,171,189,21,0,16,0,0,0,152,171,157,0,0,0,0,0,0,0,9,0,33,18,61,5,6,25,0,0,0,0,0,0,0,0,0,14,615,171,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,32,43,6,0,0,0,0,0,14,908,147100,171,0,19,14,18,0,18,0,15,64,23,43.299999999999997,212,19,0,28,10,21,0,9,29,23,38,0,13,0,22,0,0,0,0,0,0,0,0,0,0,0,0,46600,212,32,0,0,9,0,0,0,0,0,13,10,0,0,0,0,0,0,0,180,0,0,9,43,48,28,0,10,22,20,0,0,0,0,0,0,0,0,0,316,954,290,212,32,9,0,0,0,23,0,0,0,0,0,180,24,73,20,10,34,0,0,0,10,9,14.699999999999999,26.500000000000000,14.199999999999999,"Block Group 5, Census Tract 5069, Wayne County, Michigan",79,67,70,67,67,65,70,32,10,25,10,10,10,76,65,69,10,10,10,10,10,10,10,17,10,35,29,49,9,11,24,10,10,10,10,10,10,10,10,10,21,32,65,69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,53,30,40,34,11,10,10,10,10,10,21,114,64090,65,10,30,21,29,10,29,10,18,50,26,24.000000000000000,67,22,10,24,16,25,10,14,45,24,46,10,19,10,36,10,10,10,10,10,10,10,10,10,10,10,10,18662,67,30,10,10,14,10,10,10,10,10,20,16,10,10,10,10,10,10,10,69,10,10,13,43,48,43,10,16,24,24,10,10,10,10,10,10,10,10,10,129,181,49,67,30,14,10,10,10,26,10,10,10,10,10,69,27,60,23,16,44,10,10,10,16,14,7.600000000000000,8.800000000000001,4.600000000000000,33.041958041999997,163
164,26,163,507000,1,261635070001,Block Group 1,G5030,S,359579.000000000000000,0.000000000000000,+42.4296775,-083.0558848,G26016305070001,2504.952978599999824,359579.116072000004351,G26016305070001,2013-2017, , ,Michigan,26,Wayne County,163, , ,507000,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5070, Wayne County, Michigan",550,474,76,474,134,340,76,16,0,0,0,0,0,60,340,312,143,46,0,0,12,0,5,0,33,50,14,0,0,0,0,0,9,0,0,0,0,0,0,0,28,0,340,312,0,11,31,17,53,39,0,26,29,0,0,18,32,0,0,33,14,9,0,0,0,0,0,0,28,410,146300,340,24,32,0,38,16,31,11,39,44,105,31.199999999999999,134,0,0,35,16,8,0,0,22,13,32,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,43600,134,17,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,117,0,5,16,10,0,11,36,8,22,9,0,0,0,0,0,0,0,0,0,377,0,373,134,17,0,0,0,0,0,0,0,0,17,0,117,44,34,9,8,22,0,0,0,0,0,13.400000000000000,0.000000000000000,12.100000000000000,"Block Group 1, Census Tract 5070, Wayne County, Michigan",98,95,57,95,63,89,57,26,10,10,10,10,10,54,89,92,82,54,10,10,18,10,9,10,47,43,22,10,10,10,10,10,13,10,10,10,10,10,10,10,44,0,89,92,10,17,37,29,58,40,10,39,38,10,10,28,45,10,10,47,22,13,10,10,10,10,10,10,44,185,55113,89,34,45,10,46,20,39,18,40,48,69,11.300000000000001,63,10,10,27,20,12,10,10,34,21,43,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,31639,63,22,10,10,10,21,10,10,10,10,10,10,7,10,10,10,10,10,10,56,10,9,17,16,10,18,43,13,34,14,10,10,10,10,10,10,10,10,10,70,0,48,63,22,10,10,10,10,10,10,10,10,22,10,56,44,28,14,13,34,10,10,10,10,10,6.300000000000000,0.000000000000000,4.700000000000000,13.818181818199999,164
165,26,163,507000,2,261635070002,Block Group 2,G5030,S,489189.000000000000000,0.000000000000000,+42.4297749,-083.0623951,G26016305070002,3110.799383409999791,489190.221883999998681,G26016305070002,2013-2017, , ,Michigan,26,Wayne County,163, , ,507000,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5070, Wayne County, Michigan",435,353,82,353,249,104,82,21,0,0,0,0,0,61,104,104,0,0,0,0,0,0,0,0,0,52,0,24,0,16,0,0,12,0,0,0,0,0,0,0,0,575,104,104,0,0,0,0,0,0,0,0,0,0,0,24,24,11,0,0,17,16,0,12,0,0,0,0,0,718,90600,104,0,0,0,0,52,0,0,0,28,24,28.800000000000001,249,10,10,54,41,0,27,7,26,16,14,0,30,0,6,0,8,0,0,0,0,0,0,0,0,0,0,31800,249,43,0,0,0,0,10,7,6,0,0,20,0,0,0,0,0,0,0,206,12,0,0,0,17,7,49,91,20,0,0,0,0,10,0,0,0,0,0,443,775,420,249,43,7,0,0,0,0,0,6,0,30,0,206,36,82,15,7,36,0,0,0,10,20,14.400000000000000,50.000000000000000,13.500000000000000,"Block Group 2, Census Tract 5070, Wayne County, Michigan",95,87,64,87,82,62,64,33,10,10,10,10,10,55,62,62,10,10,10,10,10,10,10,10,10,51,10,37,10,25,10,10,18,10,10,10,10,10,10,10,10,139,62,62,10,10,10,10,10,10,10,10,10,10,10,39,37,20,10,10,26,25,10,18,10,10,10,10,10,374,50195,62,10,10,10,10,49,10,10,10,31,39,28.699999999999999,82,15,15,60,41,10,32,13,30,24,18,10,35,10,10,10,13,10,10,10,10,10,10,10,10,10,10,19254,82,32,10,10,10,10,15,13,10,10,10,32,10,10,10,10,10,10,10,80,21,10,10,10,27,12,55,54,26,10,10,10,10,15,10,10,10,10,10,49,581,45,82,32,13,10,10,10,10,10,10,10,33,10,80,31,53,24,11,41,10,10,10,15,33,7.400000000000000,0.000000000000000,2.100000000000000,18.850574712600000,165
166,26,163,507000,3,261635070003,Block Group 3,G5030,S,337239.000000000000000,0.000000000000000,+42.4295967,-083.0686286,G26016305070003,2660.845815799999855,337240.888871999981347,G26016305070003,2013-2017, , ,Michigan,26,Wayne County,163, , ,507000,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5070, Wayne County, Michigan",331,204,127,204,127,77,127,22,0,0,0,0,0,105,77,77,0,0,0,0,0,26,0,0,10,30,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,504,77,77,0,0,0,0,0,0,0,0,26,0,0,0,0,0,10,30,0,0,11,0,0,0,0,0,0,808,59700,77,0,0,11,0,0,10,0,0,56,0,50.000000000000000,127,20,14,13,21,8,0,0,24,6,9,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,23900,127,39,0,0,0,0,6,0,6,0,9,15,0,3,0,0,0,0,0,88,0,0,6,0,0,0,42,26,14,0,0,0,0,0,0,0,0,0,0,460,983,395,127,39,0,30,0,3,0,6,0,0,0,0,88,8,35,0,19,9,0,0,0,17,0,14.300000000000001,13.300000000000001,20.300000000000001,"Block Group 3, Census Tract 5070, Wayne County, Michigan",85,72,69,72,47,60,69,37,10,10,10,10,10,62,60,60,10,10,10,10,10,42,10,10,15,43,10,10,10,10,10,10,19,10,10,10,10,10,10,10,10,200,60,60,10,10,10,10,10,10,10,10,42,10,10,10,10,10,15,43,10,10,19,10,10,10,10,10,10,382,46751,60,10,10,19,10,10,15,10,10,59,10,0.000000000000000,47,25,22,18,21,12,10,10,27,10,15,10,10,10,14,10,10,10,10,10,10,10,10,10,10,10,10,11475,47,28,10,10,10,10,11,10,10,10,14,23,10,10,10,10,10,10,10,43,10,10,12,10,10,10,30,25,20,10,10,10,10,10,10,10,10,10,10,95,219,43,47,28,10,24,10,10,10,11,10,10,10,10,43,12,30,10,20,13,10,10,10,24,10,7.600000000000000,1.400000000000000,13.900000000000000,38.368580060399999,166
167,26,163,507100,1,261635071001,Block Group 1,G5030,S,211730.000000000000000,0.000000000000000,+42.4303727,-083.0744385,G26016305071001,1914.030979890000026,211729.501806999993278,G26016305071001,2013-2017, , ,Michigan,26,Wayne County,163, , ,507100,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5071, Wayne County, Michigan",152,105,47,105,90,15,47,0,0,0,0,0,0,47,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0.000000000000000,90,9,8,0,0,0,36,0,0,9,9,0,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,33900,90,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,71,0,0,0,0,9,27,0,8,18,0,0,9,0,0,0,0,0,0,0,506,0,349,90,19,0,10,0,0,0,0,0,0,9,0,71,8,18,0,9,0,9,0,0,0,27,14.199999999999999,0.000000000000000,13.900000000000000,"Block Group 1, Census Tract 5071, Wayne County, Michigan",68,54,50,54,52,23,50,10,10,10,10,10,10,50,23,23,10,10,23,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,23,23,10,10,23,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,23,10,10,23,10,10,10,10,10,10,10,0.000000000000000,52,14,14,10,10,10,45,10,10,14,14,10,10,14,10,10,10,15,10,10,10,10,10,10,10,10,10,25409,52,20,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,47,10,10,10,10,13,44,10,14,20,10,10,14,10,10,10,10,10,10,10,222,0,269,52,20,10,15,10,10,10,10,10,10,14,10,47,14,19,10,14,10,14,10,10,10,44,13.400000000000000,0.000000000000000,11.100000000000000,30.921052631599999,167
168,26,163,507100,2,261635071002,Block Group 2,G5030,S,243075.000000000000000,0.000000000000000,+42.4306041,-083.0799132,G26016305071002,1975.798484509999980,243073.340257000003476,G26016305071002,2013-2017, , ,Michigan,26,Wayne County,163, , ,507100,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5071, Wayne County, Michigan",437,358,79,358,215,143,79,23,0,45,0,0,0,11,143,143,0,0,0,0,0,0,0,0,0,43,0,10,26,55,0,9,0,0,0,0,0,0,0,0,0,686,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,43,55,0,0,0,0,0,0,0,962,145800,143,0,0,0,0,9,17,0,0,107,10,50.000000000000000,215,29,27,40,0,27,0,0,0,9,9,17,0,11,0,46,0,0,0,0,0,0,0,0,0,0,0,0,215,53,0,0,0,0,0,0,9,0,36,8,0,0,0,0,0,0,0,162,0,0,0,9,9,0,10,68,27,30,0,9,0,0,0,0,0,0,0,543,949,478,215,53,9,0,9,8,27,0,0,0,0,0,162,40,47,0,9,0,29,0,19,18,0,20.699999999999999,25.100000000000001,14.400000000000000,"Block Group 2, Census Tract 5071, Wayne County, Michigan",112,109,65,109,96,82,65,37,10,52,10,10,10,19,82,82,10,10,10,10,10,10,10,10,10,44,10,16,42,49,10,15,10,10,10,10,10,10,10,10,10,81,82,82,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,44,47,49,10,10,10,10,10,10,10,85,85202,82,10,10,10,10,14,21,10,10,76,16,0.000000000000000,96,28,25,51,10,44,10,10,10,14,14,19,10,17,10,51,10,10,10,10,10,10,10,10,10,10,10,0,96,50,10,10,10,10,10,10,14,10,46,13,10,10,10,10,10,10,10,85,10,10,10,14,14,10,15,58,25,49,10,14,10,10,10,10,10,10,10,158,36,78,96,50,14,10,14,13,44,10,10,10,10,10,85,33,47,10,14,10,46,10,21,20,10,14.000000000000000,10.300000000000001,20.300000000000001,18.077803203700000,168
169,26,163,507100,3,261635071003,Block Group 3,G5030,S,245548.000000000000000,0.000000000000000,+42.4245340,-083.0766808,G26016305071003,2374.993425919999936,245548.295717000000877,G26016305071003,2013-2017, , ,Michigan,26,Wayne County,163, , ,507100,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5071, Wayne County, Michigan",429,240,189,240,147,93,189,0,0,0,0,0,0,189,93,84,0,0,9,0,0,0,0,29,0,0,10,27,0,9,0,0,0,0,0,0,0,0,0,0,9,570,93,84,0,0,0,9,0,0,0,0,0,0,0,0,0,29,10,27,0,9,0,0,0,0,0,0,9,770,64100,93,29,0,0,0,0,9,27,0,19,9,35.700000000000003,147,0,9,66,0,0,0,0,35,0,9,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,147,64,0,0,0,0,0,0,0,0,27,0,37,0,0,0,0,0,0,83,0,0,0,0,27,10,0,29,0,17,0,0,0,0,0,0,0,0,0,644,1284,416,147,64,0,0,27,0,9,0,0,0,28,0,83,29,8,0,0,19,0,0,27,0,0,26.699999999999999,27.800000000000001,26.199999999999999,"Block Group 3, Census Tract 5071, Wayne County, Michigan",114,98,97,98,89,65,97,10,10,10,10,10,10,97,65,66,10,10,15,10,10,10,10,46,10,10,15,43,10,14,10,10,10,10,10,10,10,10,10,10,14,245,65,66,10,10,10,15,10,10,10,10,10,10,10,10,10,46,15,43,10,14,10,10,10,10,10,10,14,99,51544,65,46,10,10,10,10,15,43,10,21,14,29.600000000000001,89,10,14,64,10,10,10,10,47,10,14,10,10,10,10,10,45,10,10,10,10,10,10,10,10,10,10,0,89,63,10,10,10,10,10,10,10,10,42,10,47,10,10,10,10,10,10,63,10,10,10,10,45,16,10,47,10,19,10,10,10,10,10,10,10,10,10,577,595,194,89,63,10,10,42,10,14,10,10,10,45,10,63,47,13,10,10,21,10,10,45,10,10,21.199999999999999,62.399999999999999,30.899999999999999,44.055944055900000,169
170,26,163,507100,4,261635071004,Block Group 4,G5030,S,379314.000000000000000,0.000000000000000,+42.4265371,-083.0749405,G26016305071004,3439.038817099999960,379310.869795000005979,G26016305071004,2013-2017, , ,Michigan,26,Wayne County,163, , ,507100,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5071, Wayne County, Michigan",377,239,138,239,109,130,138,0,0,0,0,0,0,138,130,114,0,9,0,0,0,0,0,0,0,26,0,64,0,0,0,15,0,0,0,0,0,0,0,0,16,617,130,114,0,0,9,0,0,0,0,0,0,0,0,26,0,26,0,0,0,53,0,0,0,0,0,0,16,742,92800,130,0,0,0,9,0,15,0,34,30,42,45.899999999999999,109,0,25,20,0,9,10,0,9,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,30300,109,37,0,0,0,0,0,19,0,0,0,9,9,0,0,0,0,0,0,72,0,0,0,20,0,0,0,25,9,0,0,9,0,0,9,0,0,0,0,603,0,464,109,37,0,9,10,9,0,0,0,0,9,0,72,25,9,10,10,18,0,0,0,0,0,17.899999999999999,19.800000000000001,16.000000000000000,"Block Group 4, Census Tract 5071, Wayne County, Michigan",107,89,72,89,58,73,72,10,10,10,10,10,10,72,73,71,10,13,10,10,10,10,10,10,10,41,10,56,10,10,10,23,10,10,10,10,10,10,10,10,21,33,73,71,10,10,13,10,10,10,10,10,10,10,10,40,10,41,10,10,10,55,10,10,10,10,10,10,21,619,63916,73,10,10,10,13,10,23,10,43,48,45,13.300000000000001,58,10,39,23,10,15,14,10,15,10,14,10,14,14,10,10,10,10,10,10,10,10,10,10,14,10,10,23063,58,30,10,10,10,10,10,22,10,10,10,15,14,10,10,10,10,10,10,49,10,10,10,22,10,10,10,39,14,10,10,14,10,10,14,10,10,10,10,258,0,213,58,30,10,15,15,14,10,10,10,10,15,10,49,39,14,14,16,20,10,10,10,10,10,6.900000000000000,7.000000000000000,12.199999999999999,36.604774535799997,170
171,26,163,507200,1,261635072001,Block Group 1,G5030,S,225608.000000000000000,0.000000000000000,+42.4209158,-083.0798106,G26016305072001,1916.076603779999914,225609.659457000001566,G26016305072001,2013-2017, , ,Michigan,26,Wayne County,163, , ,507200,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5072, Wayne County, Michigan",350,204,146,204,109,95,146,22,0,22,0,0,0,102,95,59,0,0,0,14,0,16,0,0,0,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,36,0,95,59,0,0,0,0,0,0,14,0,0,0,16,6,0,0,0,0,17,6,0,0,0,0,0,0,36,598,40500,95,0,17,0,0,0,0,0,6,22,50,49.200000000000003,109,6,45,16,16,3,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16100,109,31,0,0,0,0,0,0,22,0,0,0,9,0,0,0,0,0,0,78,0,0,0,25,0,5,15,22,11,0,0,0,0,0,0,0,0,0,0,443,770,380,109,31,0,0,0,0,3,22,0,0,0,6,78,26,5,14,0,5,0,0,0,28,0,29.100000000000001,32.200000000000003,17.899999999999999,"Block Group 1, Census Tract 5072, Wayne County, Michigan",65,70,54,70,55,48,54,26,10,24,10,10,10,47,48,37,10,10,10,23,10,25,10,10,10,12,10,10,10,27,10,10,10,10,10,10,10,10,10,10,33,0,48,37,10,10,10,10,10,10,23,10,10,10,25,9,10,10,10,10,27,9,10,10,10,10,10,10,33,397,29751,48,10,27,10,10,10,10,10,9,27,39,60.000000000000000,55,10,35,18,27,5,10,10,27,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6852,55,30,10,10,10,10,10,10,28,10,10,10,10,10,10,10,10,10,10,46,10,10,10,26,10,7,23,24,16,10,10,10,10,10,10,10,10,10,10,131,425,92,55,30,10,10,10,10,5,28,10,10,10,9,46,26,8,22,10,8,10,10,10,31,10,17.500000000000000,1.000000000000000,32.799999999999997,41.714285714299997,171
172,26,163,507200,2,261635072002,Block Group 2,G5030,S,529000.000000000000000,0.000000000000000,+42.4209207,-083.0711853,G26016305072002,3130.650568470000053,528998.937507999944501,G26016305072002,2013-2017, , ,Michigan,26,Wayne County,163, , ,507200,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5072, Wayne County, Michigan",446,257,189,257,157,100,189,0,0,0,0,0,0,189,100,72,0,0,0,0,0,16,4,6,8,5,17,0,16,0,0,0,0,0,0,0,0,0,0,0,28,520,100,72,0,0,0,0,0,0,0,6,0,0,27,0,4,0,8,0,16,0,11,0,0,0,0,0,28,688,56100,100,0,0,4,0,0,0,0,5,41,50,50.000000000000000,157,31,43,10,14,0,14,0,0,0,0,0,14,15,0,10,6,0,0,0,0,0,0,0,0,0,0,17300,157,35,0,0,0,0,0,10,0,11,0,14,0,0,0,0,0,0,0,122,0,0,0,14,16,4,23,28,12,0,19,6,0,0,0,0,0,0,0,477,868,414,157,35,0,0,0,0,5,16,0,14,0,0,122,23,5,25,2,9,19,10,0,29,0,31.399999999999999,33.899999999999999,28.300000000000001,"Block Group 2, Census Tract 5072, Wayne County, Michigan",63,63,65,63,54,43,65,10,10,10,10,10,10,65,43,35,10,10,10,10,10,25,6,9,11,7,20,10,18,10,10,10,10,10,10,10,10,10,10,10,29,123,43,35,10,10,10,10,10,10,10,9,10,10,28,10,6,10,11,10,18,10,17,10,10,10,10,10,29,274,29555,43,10,10,6,10,10,10,10,7,28,39,0.000000000000000,54,23,28,10,22,10,22,10,10,10,10,10,16,24,10,12,8,10,10,10,10,10,10,10,10,10,10,10695,54,29,10,10,10,10,10,16,10,11,10,22,10,10,10,10,10,10,10,49,10,10,10,22,14,6,27,23,11,10,25,8,10,10,10,10,10,10,10,130,312,76,54,29,10,10,10,10,7,18,10,22,10,10,49,24,8,27,4,15,16,12,10,28,10,6.200000000000000,12.199999999999999,15.100000000000000,42.376681614299997,172
